title,id,genres,keywords
Star Trek: Nemesis,201,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['clone', 'assassin', 'ambush', 'feder', 'enterprise-', 'romulu', 'android', 'senat', 'self sacrific', 'telepathi', 'weapon', 'romulan', 'space opera']"
Mean Streets,203,"['Drama', 'Crime']","['epilepsi', 'gangster', 'secret lov', 'money', 'redempt']"
Hotel Rwanda,205,"['Drama', 'History', 'War']","['refuge', 'rwandan genocid', 'murder', 'slaughter', 'dead bodi', 'atroc', 'cruelti', 'violenc', 'united n', 'death']"
Dead Poets Society,207,['Drama'],"['individu', 'philosophi', 'poetri', 'professor', 'literatur', 'friendship', 'teacher', 'coming of ag', 'vermont', 'schoolteach', '1950']"
North by Northwest,213,"['Mystery', 'Thriller']","['assassin', 'spi', 'mount rushmore national memori', 'romanc', 'mistaken ident', 'on the run', 'fugit', 'espionag', 'advertis', 'frame', 'government ag', 'framed for murd']"
Saw III,214,"['Horror', 'Thriller', 'Crime']","['brain tumor', 'suffoc', 'violenc', 'mutil']"
Saw II,215,['Horror'],"['riddl', 'serial kil']"
Indiana Jones and the Kingdom of the Crystal Skull,217,"['Adventure', 'Action']","['saving the world', 'riddl', 'whip', 'treasur', 'mexico c', 'machinegun', 'alien phenomenon', 'maya civil', 'treasure hunt', 'nuclear explos', 'alien', 'refriger', 'archaeologist', 'indiana jon', 'archeolog', '1950', 'father son relationship']"
The Terminator,218,"['Action', 'Thriller', 'Science Fiction']","['saving the world', 'artificial intellig', 'rebel', 'cyborg', 'laser gun', 'shotgun', 'killer robot', 'dystopia', 'los angeles, california', 'urban set', 'griffith observatori']"
East of Eden,220,"['Drama', 'Romance']","['individu', 'sibling relationship', 'rebel', 'southern usa', 'birthday', 'love', 'money', 'good and bad', 'bean', '1910']"
Rebel Without a Cause,221,['Drama'],"['individu', 'rebel', 'street gang', 'car rac', 'parent child relationship', 'underground world', 'author', 'unsoci', 'coming of ag', 'based on short stori', 'griffith observatori']"
Rebecca,223,"['Drama', 'Mystery', 'Thriller', 'Romance']","['based on novel or book', 'age differ', 'secret', 'obsess', 'bride', 'love', 'noir', 'rural area', 'devot', 'housekeep', 'death', 'estat', 'costume parti', 'second wif']"
Boys Don't Cry,226,"['Crime', 'Drama']","['rape', 'ident', 'small town', 'based on a true stori', 'love', 'friend', 'murder', 'romanc', 'transgend', 'anger', 'hate crim', 'woman director', 'small town murd', 'gender ident']"
The Outsiders,227,"['Crime', 'Drama']","['street gang', 'based on novel or book', ""children's hom"", 'coming of ag', 'gang', 'juvenile delinqu', 'based on young adult novel']"
The Bride of Frankenstein,229,"['Drama', 'Horror', 'Science Fiction']","['lightn', 'cemeteri', 'monster', 'mad scientist']"
Syriana,231,"['Drama', 'Thriller']","['bomb', 'assassin', 'middle east', 'cia', 'capit', 'global', 'loss of loved on', 'persia', 'war on terror', 'energy polici', 'petrol', 'conspiraci']"
Rumble Fish,232,"['Action', 'Crime', 'Drama']","['street gang', 'pool billiard', 'gang', 'brother brother relationship', 'based on young adult novel']"
Stand by Me,235,"['Crime', 'Drama']","['based on novel or book', 'oregon, usa', 'normandy, fr', 'friendship', 'coming of ag', 'story within the stori', 'campfire stori', 'child', '1950', 'boy']"
Muriel's Wedding,236,"['Drama', 'Comedy', 'Romance']","['individu', 'becoming an adult', 'dream', 'return', ""love of one's lif"", 'overweight', 'provinc', 'bath', 'olympic gam', 'empower', 'boredom', 'daughter', 'friendship']"
Young Adam,237,"['Drama', 'Thriller', 'Crime', 'Romance']","['individu', 'scotland', 'adulteri', 'river', 'boat', 'court cas', 'pregnanc', 'dying and death', 'author', 'extramarital affair', 'told in flashback', 'neo-noir']"
